"","a","x","intercept"
"1",0.34572115353427,0.179258202219383,0.10000045211886
"2",0.0508099293116533,-0.220860244172411,0.528141961284123
"3",0.261176761361992,0.333223255616567,0.169875746216772
"4",0.0595568797398651,0.428950025407893,0.164749629709826
"5",0.11757508057766,0.688867477528064,0.0922009949794198
"6",0.230418278279704,0.156743544614378,0.265257950730236
"7",-0.045389346127078,0.873863505545568,0.0554175236258964
"8",0.354201178596076,-0.239375498557501,0.367288827666384
"9",0.471985278649634,-0.126629870751315,0.335977737198276
"10",0.0935922467056729,-0.00564273179426726,0.316621340376147
"11",0.30517164873984,0.124054824401779,0.28266166781063
"12",0.10112682471797,0.681648761181646,0.264852542802344
"13",0.398936148590902,-0.0368947863264835,0.314455832436032
"14",0.412080166372217,0.218693637062538,0.0104977739123792
"15",-0.0570165413905317,0.413054196234508,0.200415053581728
"16",0.213784541805812,0.382930449426536,0.065640284004395
"17",-0.158236192092626,0.68033401181651,0.143048619449423
"18",0.00830864722641778,0.515219057558298,0.461245630480149
"19",-0.388515426667981,0.199816270004827,0.694287256564551
"20",-0.156310390594555,0.379547964469376,0.313578494013527
"21",0.0493199054438151,0.641630050386837,0.0454611371345656
"22",-0.0394277052373016,0.200614579168652,0.415759562361552
"23",0.0861070969841744,0.446829268598025,0.346322867969731
"24",0.350876888619612,-0.127456545637363,0.293254081289278
"25",0.17631892032781,0.635418201977284,0.0769327187357762
"26",0.230897653906346,0.236719149123609,0.0528575607342324
"27",0.165493717698699,-0.594500313899798,0.521388468895468
"28",0.0401274047239562,0.254398919512594,0.239291978634574
"29",0.410192537977788,0.430060309644487,0.109586333963337
"30",0.533656634318195,0.497452432258828,0.0216661265648515
"31",0.22778024074643,0.385841421503743,0.151107402243521
"32",0.0927229689397755,0.415656727961161,0.438655187456873
"33",-0.0646976742484997,0.766671598552167,0.170434662464415
"34",0.146294070967418,0.423750556286501,0.428123439369435
"35",-0.249385488454092,0.0894983673237334,0.748504459391319
"36",-0.188048498408923,0.699779429030537,0.206961866813522
"37",0.277896434592512,-0.0178262950136825,0.389423899000622
"38",0.0539371546942074,0.0688794070996681,0.531057617126717
"39",-0.0378418038218542,0.378061184593038,0.303515090870446
"40",0.289150673335793,-0.158359486134864,0.484025316134356
"41",0.195784151422995,0.254074022686881,0.274212246336779
"42",0.217586321745783,0.434725000926632,-0.0426144629962625
"43",-0.157475812453341,0.813788623643616,0.106615155362312
"44",0.120133758252199,0.445693113348999,-0.0219623738670861
"45",0.343732806116458,0.230570798290634,0.275967143460199
"46",-0.110290387591293,1.13499837747196,0.0888127722643904
"47",0.566772773930416,-0.326104514670787,0.488587620215098
"48",0.0675209292483004,0.416519193193766,0.152498218560002
"49",0.471068320908009,-0.000574942011589933,0.282141167834486
"50",-0.224800367257362,0.0878739414609648,0.6504241177973
"51",0.688152714204403,-0.070525937260432,0.0619677800904237
"52",0.114680647276542,-0.138221160731956,0.537605309759313
"53",-0.217842050292712,1.00091472287204,0.10344585541038
"54",0.418082543399966,-0.0607120453878604,0.407972186053974
"55",0.296434060684552,-0.120690146154802,0.3792122549504
"56",-0.10667212374378,0.669878161186628,0.317493453233748
"57",0.44321391076338,-0.0871694581388857,0.297201997253691
"58",0.262159016794484,0.163384180392236,0.203610831321477
"59",0.326582284363351,0.244868615405723,0.167775361166233
"60",0.299351714094712,0.0719377284654167,0.282560113974806
"61",0.310163660288332,0.502214606556561,0.123283227126216
"62",-0.319104092487504,0.440801462068449,0.637440827117598
"63",-0.321373885532744,0.828142001378334,0.207240197314363
