"","a","x","intercept"
"1",-0.43149162784338,1.12486192010587,0.046940870557053
"2",0.197760279777664,0.464553080836074,-0.0828685506139905
"3",0.203510960557573,0.326288110691276,0.302822682445661
"4",-0.0992908374715367,0.501632295295811,0.233968166823483
"5",0.212715608931205,0.525185976205881,0.0654733944037429
"6",0.0245895710675011,0.589514838945881,0.325403816414057
"7",0.196890998621399,-0.213938066044103,0.575567101953962
"8",0.428415533430954,0.573398231109286,-0.248360429799774
"9",0.460562544714518,0.204047781839441,-5.26625020286505e-17
"10",-0.0408389306490345,0.68450749314186,0.0625206331986838
"11",0.193797514880916,0.650277961231482,-0.0528407002723559
"12",0.141641584436899,0.479071875710347,0.274621102467414
"13",0.232931211269526,0.194699032147047,0.195030886636222
"14",0.0408225118697883,0.648959871376282,0.172085252241535
"15",0.046774033512634,0.467822559406185,0.26473028035318
"16",0.273969385716238,0.30563611157045,0.0602182717526794
"17",0.080463451485634,0.503383129608901,0.300405879543994
"18",0.394206462309046,0.601008608969559,-0.134024213860291
"19",0.159553830248761,0.454039984768909,0.247318188226037
"20",0.369302581328895,-0.014851279475839,0.279098849419077
"21",-0.296727029462511,1.08450614023049,0.159713460735363
"22",0.0497509785358696,0.749924632299769,0.122264383877031
"23",0.248937978128094,0.590927634427927,-0.0200828751954935
"24",0.0771419425045499,0.627643641196082,0.178417556156352
"25",-0.203651748726978,0.863601199178275,0.239335602726851
"26",0.271575296918186,0.190218864467323,0.316225465205794
"27",0.178297835312856,0.59508963303628,-0.0162418508188898
"28",0.0708706313104683,-0.109621391247539,0.426017034469959
"29",0.302870933684105,0.2919768155223,0.109905812604064
"30",0.32090844917103,0.170770570902577,0.250773989746998
"31",0.302409149151496,0.437541926369484,-0.051049045103701
"32",0.575510307289577,0.198007647895962,0.117954234538873
"33",0.39205110719011,0.113387350531597,0.299605422453723
"34",0.294515627041134,-0.333158851243792,0.301042852779269
"35",0.107457987499608,0.533233209531011,0.20721611707028
"36",-0.0220127041081055,0.283151904460896,0.314381217475134
"37",0.209647405799508,0.550196489916755,-0.0266449143539225
"38",0.297061379555337,0.404032274702473,-0.0266031583283645
"39",0.190396004806057,-0.567056245606417,0.721361234188074
"40",0.0685709005170676,0.707926955171864,0.115075765484826
"41",0.273038491653406,0.0729279854223112,0.191507583615917
"42",0.0664934685275919,0.822970684468137,-0.136593576105878
"43",0.398781142185312,0.10005033997558,0.148856817372157
"44",0.0603391350703084,0.408363078390221,0.21152452653715
"45",0.342768035551266,0.116948468802088,0.129385558480988
"46",0.218630326887575,0.618691229477338,0.195839391314546
"47",-0.0650079340777273,0.574457629094129,0.170527110064931
"48",0.29750452508883,0.355098206120413,0.181524953556835
"49",0.280475156658275,0.424835712494256,0.03157570998895
"50",-0.0502283533729509,0.910206847400023,0.0175050757588016
