"","a","intercept"
"1",0.558560468616389,0.285514069089307
"2",0.50434449570743,0.32123518410686
"3",0.300066484015988,0.448922280137872
"4",0.518268084329815,0.297635166257243
"5",0.634628904152094,0.213825152017417
"6",0.393470004849229,0.415320783626473
"7",0.483620421189179,0.40467538128614
"8",0.385332925813516,0.530682697689265
"9",0.15514946851621,0.390503646670092
"10",0.212163948675611,0.424459214001654
"11",0.646605811723876,0.171365753899574
"12",0.167973648187736,0.278264773534303
"13",0.372378240552971,0.428389526240816
"14",0.206604266374208,0.447696198552994
"15",0.419406438160377,0.43573477733148
"16",0.0479450138950854,0.402376076694121
"17",0.252903231204029,0.185696224319882
"18",0.719043881641644,0.105988308488942
"19",0.417072123390092,0.390361850057899
"20",0.411597165612654,0.412460652693293
"21",0.244725131800421,0.497690190482267
"22",0.612697053925652,0.153109760153842
"23",0.395080565776827,0.22908464407238
"24",-0.113758000233665,0.595341419506235
"25",0.398320426217568,0.295698096127961
"26",0.349594707422058,0.450903210704122
"27",0.349386945112842,0.466911258366377
"28",0.275554871157916,0.490908849122508
"29",0.315013824432648,0.482406080666026
"30",0.349551731980478,0.381016862923176
"31",0.3150191313937,0.407851711942334
"32",0.447239487440766,0.228852059922639
"33",0.42663332131621,0.391818961412784
"34",0.351107197217116,0.348240083205146
"35",0.37615523607001,0.36300285789414
"36",-0.0344179733218719,0.498148656629873
"37",0.233578247523474,0.360611602484838
"38",0.466901120439399,0.291880720167998
"39",0.36381329361486,0.322157431090896
"40",0.569717295032764,0.222980849899238
"41",0.0496493299822648,0.384589637436638
"42",0.0713654890830097,0.47810737104358
"43",0.246763456693448,0.400877000787102
"44",0.0675692095898331,0.455114203335037
"45",0.336540154402883,0.466658983585096
"46",0.204165924899908,0.624707110644994
"47",0.21016997630723,0.520815245184985
"48",0.590515195700564,0.138304719287517
"49",0.321784607891919,0.473180769678418
"50",0.282743724561874,0.414385177204895
"51",-0.0490844555646006,0.385028139311112
"52",0.253902404853848,0.624105314958243
"53",0.322463082636584,0.432407407414635
"54",0.410419306642329,0.415991863157595
"55",0.191006836846665,0.524155434638608
"56",0.189871219768965,0.285690400478687
"57",0.537890132001292,0.241583550216833
"58",0.199823635102674,0.39258871550621
"59",0.473415119834515,0.302088217492104
"60",0.200009404174143,0.444959789349396
"61",0.287471200196753,0.442520284260115
"62",0.0771792068669469,0.596361750224875
"63",-0.73270803158784,0.972041477162201
"64",0.112412315141717,0.475011903409515
"65",0.242231386720749,0.607042846168128
"66",0.232655954498546,0.480374193155261
"67",0.415666357824456,0.255312823501072
"68",0.535106869694059,0.303844880065628
"69",0.199345257295674,0.589434419879917
"70",0.24684934913815,0.371526931822178
"71",0.592086747762309,0.12983714469382
"72",0.334978877030307,0.443862559372958
"73",0.524749161129319,0.196898058626054
"74",0.527352683507784,0.196493305666743
"75",0.329642506552446,0.457412144388588
"76",0.138124248120471,0.327869617534386
"77",0.567462588778985,0.179071443285067
"78",0.410301285021392,0.233474829609973
"79",0.439700207555932,0.366956735278868
"80",0.50464250504051,0.330748574302759
"81",0.442747984926043,0.286632090890171
"82",0.131740924679647,0.707561188292346
"83",0.302962958189158,0.498380337520055
"84",0.464798703858675,0.399304620901026
"85",0.619691213808202,0.130143311965918
"86",0.630941280261686,0.0927824333976016
"87",0.501930399375322,0.29830869283664
"88",0.40791423876633,0.508558706957743
"89",0.289797243153483,0.226867686544123
"90",0.405518211765401,0.354235900892189
"91",0.162521528824244,0.442114324451942
"92",0.317572079693826,0.273555730611759
"93",0.678078159261999,2.10650008114602e-16
"94",0.621646415082325,0.234219459001117
"95",0.745387391389828,0
"96",0.425246487020215,0.391268992735828
"97",0.262548232852109,0.506476563135352
"98",-0.0400862666928668,0.643538786446736
"99",0.502276718775058,0.369662472496864
"100",0.349038184642205,0.471118636582537
